1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.),17 - Longitude (decimal),16 - Latitude (decimal),58 - Deck Condition Rating,59 - Superstructure Condition Rating,60 - Substructure Condition Rating,62 - Culverts Condition Rating,63 - Operating Rating Method Code,64 - Operating Rating (US tons),66 - Inventory Rating (US tons),91 - Designated Inspection Frequency,90 - Inspection Date,92A - Fracture Critical Details,92B - Underwater Inspection,92C - Other Special Inspection,93A - Fracture Critical Detail Date,93B - Underwater Inspection Date,93C - Other Special Inspection Date,21 - Maintenance Responsibility
31,Nebraska,C007413860     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1986,25,Concrete Continuous,Slab,3,132.9,NOHARTS CREEK           ,ROAD 702          ,Good,36,4054.2,-95.463,40,8,8,7,N,1,75,41.9,24,10/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007443235     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1940,30,Steel,Girder and Floorbeam System,1,32.2,STREAM                  ,705 RD-659 / 660A ,Good,82,780.6,-95.4522,40.0432,7,7,7,N,1,35.3,20.9,24,11/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007416305     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,20,Steel,Stringer/Multi-beam or Girder,1,32.2,STREAM                  ,661 AV-708 / 709 R,Fair,87,516.9,-95.4308,40.1008,7,6,6,N,1,26.5,16.5,24,10/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007462620     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,40,Steel,Truss - Thru,1,71.9,STREAM                  ,708 RD-659 / 660 A,Poor,87,1155.1,-95.4464,40.0866,4,4,5,N,2,11,7.7,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007406115     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1995,45,Concrete,Culvert,3,38.1,STREAM                  ,660 AV-708 / 709 R,Fair,27,1061.3,-95.445,40.0967,N,N,N,6,0,36.4,24.3,24,11/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007405705     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,10,Steel,Stringer/Multi-beam or Girder,1,40,STREAM                  ,658 AV-NORTH 703 R,Fair,87,643.5,-95.4827,40.0256,6,6,5,N,1,35.3,20.9,24,10/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007406120     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1973,45,Steel,Stringer/Multi-beam or Girder,1,121.1,WINNEBAGO CREEK         ,660 AV-709 / 710 R,Good,49,3614.4,-95.4449,40.1149,7,7,7,N,1,41.9,25.4,24,11/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007405505     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,15,Steel,Stringer/Multi-beam or Girder,1,22.6,STREAM                  ,657 AV-703 / 704 R,Good,87,453.1,-95.5016,40.025,7,7,7,N,1,70.5,41.9,24,10/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007432040     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1983,45,Steel,Stringer/Multi-beam or Girder,1,123,WINNEBAGO CREEK         ,711 RD - 659 AV   ,Good,39,3713.5,-95.4622,40.1302,7,7,7,N,1,59.5,35.3,24,11/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S159 00980     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1999,1580,Concrete,Culvert,2,23,STREAM                  ,US159             ,Good,23,640.5,-95.4948,40.058,N,N,N,8,0,47.4,36.4,48,8/2/2016 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,S159 00912     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1995,1580,Concrete,Culvert,3,37.1,BERARD CREEK            ,US159             ,Good,27,887.9,-95.5076,40.0581,N,N,N,8,0,47.4,36.4,48,8/2/2016 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007405305     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1962,190,Steel Continuous,Stringer/Multi-beam or Girder,3,351,BIG NEMAHA RIVER        ,IRR/FAS 3615      ,Fair,60,9444.2,-95.5205,40.0438,5,6,6,N,1,57.3,34.2,24,9/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007413857     ,County Highway Agency,147,Richardson County,0,0,No Place Code,2010,15,Concrete Continuous,Slab,3,112.9,WALNUT CREEK TRIB       ,ROAD 702          ,Good,12,3147.4,-95.5402,40.0001,8,8,8,N,1,79.4,47.4,24,1/2/2016 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007425715     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,40,Steel,Truss - Thru,1,131.9,WINNEBAGO CREEK         ,658 AV-711R/712T  ,Fair,87,3245.3,-95.4827,40.1425,8,7,6,N,1,45.2,26.5,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007405310     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1986,190,Steel Continuous,Stringer/Multi-beam or Girder,3,217.8,MUDDY CREEK             ,656 AV-704/ 706 RD,Good,36,6646.9,-95.5204,40.052,7,8,8,N,1,72.8,43,24,12/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007405315     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1986,190,Concrete,Culvert,3,32.2,STREAM                  ,656 AV-704/ 706 RD,Good,36,770,-95.5204,40.0564,N,N,N,8,0,36.4,24.3,24,11/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007452840     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,35,Steel,Truss - Thru,1,51.8,STREAM                  ,707 RD-656 / 657 A,Fair,87,1054.4,-95.5158,40.0726,6,6,5,N,1,37.5,22,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,S159 00816     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1995,2160,Concrete Continuous,Slab,3,123,OLD CHANNEL MUDDY CREEK ,US159             ,Good,27,5207,-95.5259,40.0579,7,7,7,N,1,92.6,55.1,48,8/2/2016 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,S159 00771     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1995,2160,Steel Continuous,Stringer/Multi-beam or Girder,3,363.8,MUDDY CREEK             ,US159             ,Good,27,15398.9,-95.5342,40.0581,7,8,8,N,1,95.9,57.3,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007404905     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,50,Steel,Stringer/Multi-beam or Girder,2,40,STREAM                  ,654AV-702R / 702TR,Fair,87,814.2,-95.5582,40.0073,6,7,7,N,1,34.2,19.8,24,9/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007413855     ,County Highway Agency,147,Richardson County,0,0,No Place Code,2002,45,Concrete Continuous,Slab,3,147.3,WALNUT CREEK            ,KS SL             ,Good,20,3866.4,-95.5655,40.0003,8,8,8,N,1,76.1,45.2,24,1/2/2016 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007413850     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1980,40,Steel,Stringer/Multi-beam or Girder,1,29.9,WALNUT CREEK TRIB       ,ROAD 702          ,Good,42,773.8,-95.57202,40.0002,7,7,7,N,2,28.7,16.5,24,1/2/2016 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007413610P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,1981,50,Steel,Stringer/Multi-beam or Girder,4,138.1,WALNUT CREEK            ,702 TR-652 / 654 A,Fair,41,3625.3,-95.5697,40.0111,6,5,6,N,1,26.5,16.5,24,7/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007452835     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1974,40,Steel Continuous,Stringer/Multi-beam or Girder,3,252,MUDDY CREEK             ,707 RD-654 / 655 A,Good,48,6200,-95.5531,40.0728,7,7,7,N,1,26.5,15.4,24,9/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007414910     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1994,70,Concrete,Culvert,3,23,STREAM                  ,654 AV-706 / 707 R,Good,28,595.2,-95.5583,40.0633,N,N,N,7,0,36.4,24.3,24,10/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007413605P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,35,Steel,Stringer/Multi-beam or Girder,1,23,STREAM                  ,702 TR-652 / 654 A,Fair,87,648,-95.5802,40.0111,5,6,5,N,1,23.1,14.3,24,11/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007425105     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,50,Steel,Truss - Thru,1,57.1,STREAM                  ,655 AV-709 / 710 R,Poor,87,1011.4,-95.5395,40.1113,5,3,5,N,1,16.5,9.9,24,7/2/2017 0:00,Y24,N  ,Y24,721,,720,2
31,Nebraska,C007462420     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,20,Steel,Truss - Thru,1,92.8,HALFBREED CREEK         ,709 RD-654 / 655 A,Fair,87,2040.9,-95.5465,40.1018,5,5,5,N,1,14.3,7.7,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007442610     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1925,30,Steel,Truss - Thru,1,122,HALFBREED CREEK         ,708 RD-654 / 655 A,Poor,97,1922,-95.5538,40.0871,5,4,5,N,1,18.7,11,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007442230     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1995,40,Steel,Stringer/Multi-beam or Girder,1,144,HALFBREED CREEK         ,710 RD-654 / 655 A,Good,27,4111.1,-95.5423,40.1162,7,8,8,N,1,67.2,39.7,24,10/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007414915     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1970,70,Steel Continuous,Stringer/Multi-beam or Girder,3,202.1,MUDDY CREEK             ,654 AV-707 / 708 R,Fair,52,4442.5,-95.5583,40.0778,6,5,7,N,1,33.1,19.8,24,12/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007462415     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,40,Steel,Stringer/Multi-beam or Girder,1,41,STREAM                  ,709 RD-654 / 655 A,Fair,87,1062.9,-95.5562,40.1018,6,6,5,N,1,24.3,14.3,24,10/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007405330     ,County Highway Agency,147,Richardson County,0,0,No Place Code,2011,15,Concrete,Culvert,2,24.6,COTTIER CREEK           ,656TH AVE         ,Good,11,492.4,-95.5214,40.2027,N,N,N,7,1,46.3,36.4,24,11/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 00222     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1981,1860,Steel Continuous,Stringer/Multi-beam or Girder,3,145,PONY CREEK              ,US73/US159        ,Good,41,6232.5,-95.5958,40.0322,8,8,7,N,1,57.3,34.2,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007423430     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1964,120,Concrete Continuous,Slab,3,120.1,PONY CREEK              ,704 RD-WEST 652A  ,Good,58,3466.8,-95.5966,40.0304,7,7,8,N,1,40.8,24.3,24,11/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 00234     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1981,1860,Concrete,Culvert,2,22,STREAM                  ,US73/US159        ,Good,41,879.8,-95.5958,40.034,N,N,N,7,0,47.4,36.4,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007431835     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1988,145,Steel,Stringer/Multi-beam or Girder,1,123,HALFBREED CREEK         ,712 RD-654 / 655 A,Good,34,3713.5,-95.5495,40.1452,8,8,7,N,1,69.4,41.9,24,11/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 00248     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1981,1860,Steel Continuous,Stringer/Multi-beam or Girder,3,379.9,BIG NEMAHA RIVER        ,US73/US159        ,Good,41,16204,-95.5958,40.0361,8,8,8,N,1,63.9,37.5,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007441020     ,County Highway Agency,147,Richardson County,0,0,No Place Code,2000,10,Steel,Stringer/Multi-beam or Girder,1,46.9,GOUCHER HOLLOW          ,716 RD-654 / 656 A,Fair,22,938.9,-95.5248,40.2043,6,7,7,N,1,66.1,38.6,24,10/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 00265     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1981,2105,Concrete,Culvert,5,54.1,STREAM                  ,US73/US159        ,Good,41,2166.8,-95.5958,40.0385,N,N,N,7,0,47.4,36.4,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007452825     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,70,Steel,Stringer/Multi-beam or Girder,1,35.1,STREAM                  ,707 RD-652 B/654 A,Fair,87,725.6,-95.5815,40.0728,6,6,6,N,1,37.5,22,24,10/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007404520     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1981,350,Concrete,Culvert,3,33.1,STREAM                  ,642 AV-SOUTH FC   ,Good,41,761,-95.5955,40.0427,N,N,N,7,0,36.4,24.3,24,10/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 00292     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1981,2105,Concrete,Culvert,3,33.1,STREAM                  ,US73/US159        ,Good,41,1326.3,-95.597,40.0421,N,N,N,7,0,47.4,36.4,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,S073 00299     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1981,2105,Concrete,Culvert,5,65,STREAM                  ,US73/US159        ,Good,41,2600.1,-95.5977,40.043,N,N,N,7,0,36.4,24.3,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007404705     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,25,Steel,Stringer/Multi-beam or Girder,1,22.3,STREAM                  ,653 AV-708 / 709 R,Fair,87,358.7,-95.5771,40.0945,5,7,6,N,1,17.6,9.9,24,10/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007404505P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,95,Steel,Stringer/Multi-beam or Girder,1,32.2,STREAM                  ,652 BL-SOUTH 707R ,Fair,87,643.5,-95.5863,40.0721,6,6,5,N,1,37.5,23.1,24,10/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007431635     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1940,35,Steel,Stringer/Multi-beam or Girder,1,47.9,HALFBREED CREEK         ,713 RD-654 / 655 A,Fair,82,958.6,-95.5509,40.1597,7,6,6,N,1,70.5,43,24,11/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 00350     ,State Highway Agency,147,Richardson County,16655,16655,Falls City city,1981,2915,Steel Continuous,Stringer/Multi-beam or Girder,4,297.9,BNSF/UPRR      083-696-X,US73/US159        ,Good,41,12705.7,-95.6015,40.0493,8,8,7,N,1,59.5,35.3,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007413845     ,County Highway Agency,147,Richardson County,0,0,No Place Code,2017,50,Steel,Stringer/Multi-beam or Girder,1,60.4,PONY CREEK TRIB         ,ROAD 702          ,Good,5,1703.3,-95.624,40.0003,9,9,9,N,3,110.1,71.7,24,9/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007411450     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1990,15,Steel,Stringer/Multi-beam or Girder,1,63,HALFBREED CREEK         ,714 RD-654 / 655 A,Good,32,1777.3,-95.5535,40.1752,7,7,8,N,1,87.1,51.8,24,11/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007413840     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1925,50,Steel,Truss - Thru,1,102,PONY CREEK              ,702 RD            ,Fair,97,1975.1,-95.627,40,5,5,6,N,1,29.8,17.6,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007452410     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1940,40,Steel,Stringer/Multi-beam or Girder,1,77.1,SILVER BRANCH           ,709 RD-652 / 653 A,Fair,82,1846.5,-95.5959,40.1019,7,7,6,N,1,69.4,41.9,24,6/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007423040     ,County Highway Agency,147,Richardson County,0,0,No Place Code,2002,90,Steel,Stringer/Multi-beam or Girder,1,29.9,STREAM                  ,706 RD-651 B      ,Good,20,773.8,-95.6134,40.0584,8,9,8,N,1,101.4,60.6,24,8/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007411445     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,15,Steel,Truss - Thru,1,81,STREAM                  ,714 RD-653 / 654 A,Poor,87,1302.8,-95.565,40.175,4,4,5,N,1,0,0,24,11/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007432225     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1950,45,Steel,Stringer/Multi-beam or Girder,3,100.1,SILVER BRANCH           ,710 RD-652 / 653 A,Poor,72,2593.6,-95.5921,40.1164,6,6,4,N,1,39.7,24.3,24,11/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S008 14851     ,State Highway Agency,147,Richardson County,16655,0,No Place Code,1958,1585,Steel Continuous,Stringer/Multi-beam or Girder,3,115.2,UPRR           433-497-N,N8                ,Fair,64,3551.4,-95.6136,40.0656,5,5,7,N,1,35.3,20.9,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007404310     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1953,80,Steel,Stringer/Multi-beam or Girder,1,26.9,STREAM                  ,ACCESS ROAD       ,Fair,69,538.4,-95.6146,40.0652,5,6,5,N,1,9.9,5.5,24,9/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007404110P    ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,20,Steel,Stringer/Multi-beam or Girder,1,24,BIG NEMAHA RIVER TRIBUTA,650 BL-SOUTH 706 R,Fair,87,479.3,-95.624,40.0482,6,7,7,N,1,28.7,16.5,24,10/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007452408     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1987,50,Steel,Girder and Floorbeam System,1,29.9,STREAM                  ,709 RD-651 B/652 A,Fair,35,715,-95.6039,40.1019,6,7,7,N,1,49.6,29.8,24,8/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 00687     ,State Highway Agency,147,Richardson County,0,0,No Place Code,2009,2575,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,3,131.9,MUDDY CREEK SOUTH OVERFL,US73              ,Good,13,6187.7,-95.6055,40.0974,8,9,8,N,3,63.9,48.5,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,S073 00712     ,State Highway Agency,147,Richardson County,0,0,No Place Code,2009,2575,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,3,222.1,MUDDY CREEK             ,US73              ,Good,13,10420.6,-95.6056,40.101,8,9,8,N,3,48.5,37.5,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,S073 00726     ,State Highway Agency,147,Richardson County,0,0,No Place Code,2009,2575,Prestressed Concrete Continuous,Tee Beam,3,132.9,MUDDY CREEK NORTH OVERFL,US73              ,Good,13,6233.9,-95.6056,40.103,8,8,9,N,3,59.5,46.3,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007424310     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,35,Steel,Truss - Thru,1,81,STREAM                  ,651 AVENUE        ,Fair,87,1648.4,-95.6151,40.1314,6,6,5,N,1,13.2,6.6,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007422035     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1985,35,Steel,Stringer/Multi-beam or Girder,2,67.9,GOOLSBY CREEK           ,711 RD-650 / 651 A,Fair,37,1626.5,-95.6239,40.131,7,6,7,N,1,39.7,23.1,24,9/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007432220     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1935,40,Steel,Truss - Thru,1,128.9,GOOLSBY CREEK           ,710 RD-650 / 651 A,Fair,87,2580.4,-95.6299,40.1165,5,5,5,N,1,13.2,8.8,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007414105     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1969,260,Steel Continuous,Stringer/Multi-beam or Girder,3,232.9,MUDDY CREEK             ,650 AV-709 T/710 R,Fair,53,4738.3,-95.6339,40.1139,6,7,7,N,1,24.3,14.3,24,9/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,S073 01103     ,State Highway Agency,147,Richardson County,0,0,No Place Code,1975,2020,Steel Continuous,Stringer/Multi-beam or Girder,3,183.1,GOOLSBY CREEK           ,US73              ,Fair,47,8588.9,-95.6239,40.1456,5,7,5,N,1,55.1,33.1,24,8/2/2018 0:00,N  ,N  ,N  ,,,,1
31,Nebraska,C007431630     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1950,15,Steel,Stringer/Multi-beam or Girder,1,29.9,GOOLSBY CREEK           ,713 RD-650 / 651 A,Fair,72,891.4,-95.6223,40.1602,5,6,7,N,1,25.4,15.4,24,9/2/2017 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007411440     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1915,25,Steel,Truss - Thru,1,128,GOOLSBY CREEK           ,714 RD-650 / 651 A,Poor,107,1973,-95.6203,40.175,5,4,4,N,1,17.6,11,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
31,Nebraska,C007413035     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1996,20,Steel,Stringer/Multi-beam or Girder,1,24,TRIB TO BIG NEMAHA RIVER,706 RD-647 / 648 A,Fair,26,487.2,-95.6714,40.0584,7,7,6,N,1,110.1,71.7,24,6/2/2018 0:00,N  ,N  ,N  ,,,,2
31,Nebraska,C007423425     ,County Highway Agency,147,Richardson County,0,0,No Place Code,1968,30,Steel,Truss - Thru,1,62,WILDCAT CREEK           ,704 RD            ,Fair,54,1220.6,-95.6839,40.0294,6,5,5,N,1,7.7,5.5,24,7/2/2017 0:00,Y24,N  ,N  ,721,,,2
